1|1
2|134
3|1
4|178
5|1
6|1
7|1
8|1
9|1
10|134
11|1
12|129
13|1
14|157
15|1
16|202
17|1
18|1940
19|18
20|110
21|1
22|183
23|1
24|166
25|1
26|98
27|1
28|155
29|1
30|90
31|1
32|1375
33|1345
34|1
35|1
36|1
37|1
38|1
39|1
40|1
41|1
42|1
43|1
44|1
45|1
46|1
47|1
48|1
49|1
50|1
51|1
52|90
53|1
54|228
55|1
56|103
57|1
58|155
59|1
60|64
61|1
62|22
63|1
64|51
65|1
66|1
67|1
68|1
69|1
70|1
71|1
72|1
73|1
74|1
75|1
76|1
77|1
78|1
79|1
80|1
81|1
82|1
83|1
84|1
85|1
86|1
87|1
88|1
89|1
90|1
91|1
92|1
93|1
94|1
95|1
96|1
97|1
98|1
99|1
100|83
101|1
102|84
103|1
104|146
105|1
106|216
107|1
108|250
109|1
110|180
111|1
112|1270
113|442
114|46
115|1
116|163
117|1
118|167
119|1
120|2
121|1
122|1
123|1
124|1
125|1
126|1
127|1
128|1
129|7
130|1
131|1
132|1
133|1
134|1
135|1
136|2
137|1
138|1
139|1
140|1
141|1
142|1
143|1
144|1
145|1
146|1
147|1
148|1
149|1
150|1
151|1
152|1
153|1
154|1
155|1
156|1
157|1
158|1
159|1
160|1
161|1
162|144
163|1
164|151
165|1
166|116
167|1
168|92
169|1
170|55
171|1
172|102
173|1
174|159
175|1
176|115
177|1
178|193
179|1
180|77
181|1
182|52
183|1
184|204
185|1
186|50
187|1
188|248
189|1
190|75
191|1
192|211
193|1
194|1
195|1
196|1
197|1
198|92
199|1
200|151
201|1
202|1825
203|1503
204|699
205|363
206|1337
207|1719
208|1
209|1
210|1
211|1
212|1
213|1
214|1
215|1
216|1
217|1
218|58
219|1
220|45
221|1
222|123
223|1
224|237
225|1
226|803
227|489
228|22
229|299
230|78
231|1
232|1
233|1
234|1
235|1
236|1
237|1
238|1
239|1
240|1
241|1
242|308
243|112
244|1303
245|1049
246|56
247|1
248|222
249|1
250|1
251|1
252|47
253|1
254|1
255|1
256|18
257|1
258|1
259|1
260|47
261|1
262|1
263|50
264|90
265|1
266|1
267|1
268|1
269|1
270|1
271|1
272|1
